Position,Team,Played,Wins,Draws,Losses,Goals For,Goals Against,Goal Difference,Points
1,Falkirk,36,22,7,7,72,33,+39,73
2,Livingston,36,20,10,6,55,27,+28,70
3,Ayr,36,18,9,9,57,39,+18,63
4,Partick Thistle,36,15,10,11,43,38,+5,55
5,Raith Rovers,36,15,8,13,47,43,+4,53
6,Morton,36,12,12,12,42,48,-6,48
7,Dunfermline,36,9,8,19,28,43,-15,35
8,Queen's Park,36,9,8,19,36,55,-19,35
9,Airdrieonians,36,7,8,21,34,62,-28,29
10,Hamilton,36,10,6,20,38,64,-26,21
