Position,Team,Played,Wins,Draws,Losses,Goals For,Goals Against,Goal Difference,Points
1,Istanbul Basaksehir,34,20,9,5,65,34,+31,69
2,Trabzonspor,34,18,11,5,76,42,+34,65
3,Besiktas,34,19,5,10,59,40,+19,62
4,Sivasspor,34,17,9,8,55,38,+17,60
5,Alanyaspor,34,16,9,9,61,37,+24,57
6,Galatasaray,34,15,11,8,55,37,+18,56
7,Fenerbahce,34,15,8,11,58,46,+12,53
8,Gazisehir Gaziantep,34,11,13,10,49,50,-1,46
9,Antalyaspor,34,11,12,11,41,52,-11,45
10,Kasimpasa,34,12,7,15,53,58,-5,43
11,Goztepe,34,11,9,14,44,49,-5,42
12,Konyaspor,34,8,12,14,36,52,-16,36
13,Genclerbirligi,34,9,9,16,39,56,-17,36
14,Denizlispor,34,9,8,17,31,48,-17,35
15,Caykur Rizespor,34,10,5,19,38,57,-19,35
16,Yeni Malatyaspor,34,8,8,18,44,51,-7,32
17,Ankaragucu,34,7,11,16,31,56,-25,32
18,Kayserispor,34,8,8,18,40,72,-32,32
