Position,Team,Played,Wins,Draws,Losses,Goals For,Goals Against,Goal Difference,Points
1,Mirandes,42,15,7,20,58,62,-4,52
2,Leganes,42,13,15,14,50,51,-1,54
3,Almeria,42,24,9,9,68,35,+33,81
4,Girona,42,20,8,14,57,42,+15,68
5,Real Valladolid,42,24,9,9,71,43,+28,81
6,Oviedo,42,17,17,8,57,41,+16,68
7,UD Ibiza-Eivissa,42,12,16,14,53,59,-6,52
8,Huesca,42,13,15,14,49,44,+5,54
9,FC Cartagena,42,18,6,18,63,57,+6,60
10,Eibar,42,23,11,8,61,45,+16,80
11,Las Palmas,42,19,13,10,57,47,+10,70
12,Ponferradina,42,17,12,13,57,55,+2,63
13,Tenerife,42,20,9,13,53,37,+16,69
14,Lugo,42,10,20,12,46,52,-6,50
15,Amorebieta,42,9,16,17,44,63,-19,43
16,Real Sociedad B,42,10,10,22,43,61,-18,40
17,Gijon,42,11,13,18,43,48,-5,46
18,Burgos,42,15,10,17,41,41,0,55
19,Real Zaragoza,42,12,20,10,39,46,-7,56
20,Fuenlabrada,42,6,15,21,39,65,-26,33
21,Alcorcon,42,6,11,25,37,71,-34,29
22,Malaga,42,11,12,19,36,57,-21,45
