Position,Team,Played,Wins,Draws,Losses,Goals For,Goals Against,Goal Difference,Points
1,Espanyol,42,24,10,8,71,28,+43,82
2,Real Mallorca,42,24,10,8,54,28,+26,82
3,Leganes,42,21,10,11,51,32,+19,73
4,Almeria,42,21,10,11,61,40,+21,73
5,Girona,42,20,11,11,47,36,+11,71
6,Rayo Vallecano,42,19,10,13,52,40,+12,67
7,Gijon,42,17,14,11,37,28,+9,65
8,Ponferradina,42,15,12,15,45,50,-5,57
9,Las Palmas,42,14,14,14,46,53,-7,56
10,Mirandes,42,14,12,16,38,41,-3,54
11,Fuenlabrada,42,12,18,12,45,46,-1,54
12,Malaga,42,14,11,17,37,47,-10,53
13,Oviedo,42,11,19,12,45,46,-1,52
14,Tenerife,42,13,13,16,36,36,0,52
15,Real Zaragoza,42,13,11,18,37,43,-6,50
16,FC Cartagena,42,12,13,17,44,52,-8,49
17,Alcorcon,42,13,9,20,32,42,-10,48
18,Lugo,42,11,14,17,38,53,-15,47
19,Sabadell,42,11,13,18,40,48,-8,46
20,UD Logrones,42,11,11,20,28,53,-25,44
21,CD Castellon,42,11,8,23,35,54,-19,41
22,Albacete,42,9,11,22,30,53,-23,38
