Position,Team,Played,Wins,Draws,Losses,Goals For,Goals Against,Goal Difference,Points
1,Greuther Furth,0,0,0,0,0,0,0,0
2,SV Darmstadt 98,0,0,0,0,0,0,0,0
3,Preussen Munster,0,0,0,0,0,0,0,0
4,Holstein Kiel,0,0,0,0,0,0,0,0
5,FC Magdeburg,0,0,0,0,0,0,0,0
6,Elversberg,0,0,0,0,0,0,0,0
7,VfL Bochum 1848,0,0,0,0,0,0,0,0
8,SC Paderborn 07,0,0,0,0,0,0,0,0
9,Karlsruher,0,0,0,0,0,0,0,0
10,Schalke,0,0,0,0,0,0,0,0
11,Fortuna Dusseldorf,0,0,0,0,0,0,0,0
12,Dynamo Dresden,0,0,0,0,0,0,0,0
13,Braunschweig,0,0,0,0,0,0,0,0
14,Nurnberg,0,0,0,0,0,0,0,0
15,Kaiserslautern,0,0,0,0,0,0,0,0
16,Hertha Berlin,0,0,0,0,0,0,0,0
17,Hannover 96,0,0,0,0,0,0,0,0
18,Arminia Bielefeld,0,0,0,0,0,0,0,0
