Position,Team,Played,Wins,Draws,Losses,Goals For,Goals Against,Goal Difference,Points
1,Hearts,27,17,6,4,63,24,+39,57
2,Dundee,27,12,9,6,49,40,+9,45
3,Raith Rovers,27,12,7,8,45,36,+9,43
4,Dunfermline,27,10,9,8,38,34,+4,39
5,Inverness CT,27,8,12,7,36,31,+5,36
6,Queen of Sth,27,9,5,13,38,51,-13,32
7,Arbroath,27,7,9,11,28,34,-6,30
8,Ayr,27,6,11,10,31,37,-6,29
9,Morton,27,6,11,10,22,33,-11,29
10,Alloa,27,5,7,15,30,60,-30,22
