Position,Team,Played,Wins,Draws,Losses,Goals For,Goals Against,Goal Difference,Points
1,Leganes,42,20,14,8,56,27,+29,74
2,Real Valladolid,42,21,9,12,51,36,+15,72
3,Eibar,42,21,8,13,71,47,+24,71
4,Espanyol,42,17,18,7,59,40,+19,69
5,Gijon,42,18,11,13,51,42,+9,65
6,Racing Santander,42,18,10,14,63,55,+8,64
7,Oviedo,42,17,13,12,54,38,+16,64
8,Burgos,42,16,11,15,52,54,-2,59
9,Racing DE Ferrol,42,15,14,13,49,52,-3,59
10,Elche,42,16,11,15,43,46,-3,59
11,Levante,42,13,20,9,49,45,+4,59
12,Tenerife,42,15,11,16,38,41,-3,56
13,Albacete,42,12,15,15,50,56,-6,51
14,FC Cartagena,42,14,9,19,37,51,-14,51
15,Real Zaragoza,42,12,15,15,42,42,0,51
16,Eldense,42,12,14,16,46,56,-10,50
17,Huesca,42,11,16,15,36,33,+3,49
18,Mirandes,42,12,13,17,47,55,-8,49
19,Amorebieta,42,11,12,19,37,53,-16,45
20,Alcorcon,42,10,14,18,32,53,-21,44
21,Villarreal B,42,11,10,21,41,62,-21,43
22,FC Andorra,42,11,10,21,33,53,-20,43
