Position,Team,Played,Wins,Draws,Losses,Goals For,Goals Against,Goal Difference,Points
1,Empoli,38,19,16,3,68,35,+33,73
2,Salernitana,38,19,12,7,46,34,+12,69
3,Monza,38,17,13,8,51,33,+18,64
4,Lecce,38,16,14,8,68,47,+21,62
5,Venezia,38,15,14,9,53,39,+14,59
6,Cittadella,38,15,12,11,48,35,+13,57
7,Brescia,38,15,11,12,61,53,+8,56
8,Chievo,38,14,14,10,50,37,+13,56
9,SPAL,38,14,14,10,44,42,+2,56
10,Frosinone,38,12,14,12,38,42,-4,50
11,Reggina,38,12,14,12,42,45,-3,50
12,Vicenza,38,11,15,12,48,53,-5,48
13,Cremonese,38,12,12,14,46,44,+2,48
14,Pisa,38,11,15,12,54,59,-5,48
15,Pordenone,38,10,15,13,40,39,+1,45
16,Ascoli,38,11,11,16,37,48,-11,44
17,Cosenza,38,6,17,15,29,47,-18,35
18,Reggiana,38,9,7,22,31,57,-26,34
19,Pescara,38,7,11,20,29,60,-31,32
20,Entella,38,4,11,23,30,64,-34,23
