Position,Team,Played,Wins,Draws,Losses,Goals For,Goals Against,Goal Difference,Points
1,Parma,38,21,13,4,66,35,+31,76
2,Como,38,21,10,7,58,40,+18,73
3,Venezia,38,21,7,10,69,46,+23,70
4,Cremonese,38,19,10,9,50,32,+18,67
5,Catanzaro,38,17,9,12,59,50,+9,60
6,Palermo,38,15,11,12,62,53,+9,56
7,Sampdoria,38,16,9,13,53,50,+3,55
8,Brescia,38,12,15,11,44,40,+4,51
9,Cosenza,38,11,14,13,47,42,+5,47
10,Modena,38,10,17,11,41,47,-6,47
11,Reggiana,38,10,17,11,38,45,-7,47
12,Sudtirol,38,12,11,15,46,48,-2,47
13,Pisa,38,11,13,14,51,54,-3,46
14,Cittadella,38,11,13,14,40,47,-7,46
15,Spezia,38,9,17,12,36,49,-13,44
16,Ternana,38,11,10,17,43,50,-7,43
17,Bari,38,8,17,13,38,49,-11,41
18,Ascoli,38,9,14,15,38,42,-4,41
19,Feralpisalo,38,8,9,21,44,65,-21,33
20,Lecco,38,6,8,24,35,74,-39,26
