Position,Team,Played,Wins,Draws,Losses,Goals For,Goals Against,Goal Difference,Points
1,VfL Bochum 1848,34,21,4,9,66,39,+27,67
2,Greuther Furth,34,18,10,6,69,44,+25,64
3,Holstein Kiel,34,18,8,8,57,35,+22,62
4,Hamburger,34,16,10,8,71,44,+27,58
5,Fortuna Dusseldorf,34,16,8,10,55,46,+9,56
6,Karlsruher,34,14,10,10,51,44,+7,52
7,SV Darmstadt 98,34,15,6,13,63,55,+8,51
8,Heidenheim,34,15,6,13,49,49,0,51
9,SC Paderborn 07,34,12,11,11,53,45,+8,47
10,St Pauli,34,13,8,13,51,56,-5,47
11,Nurnberg,34,11,11,12,46,51,-5,44
12,Erzgebirge Aue,34,12,8,14,44,53,-9,44
13,Hannover 96,34,12,6,16,53,51,+2,42
14,Jahn Regensburg,34,9,11,14,37,50,-13,38
15,SV Sandhausen,34,10,4,20,41,60,-19,34
16,VfL Osnabruck,34,9,6,19,35,58,-23,33
17,Braunschweig,34,7,10,17,30,59,-29,31
18,Wurzburger Kickers,34,6,7,21,37,69,-32,25
