Position,Team,Played,Wins,Draws,Losses,Goals For,Goals Against,Goal Difference,Points
1,Lecce,38,19,14,5,59,31,+28,71
2,Cremonese,38,20,9,9,57,39,+18,69
3,Pisa,38,18,13,7,48,35,+13,67
4,Monza,38,19,10,9,60,38,+22,67
5,Brescia,38,17,15,6,55,35,+20,66
6,Ascoli,38,19,8,11,52,42,+10,65
7,Benevento,38,18,9,11,62,39,+23,63
8,Perugia,38,14,16,8,40,32,+8,58
9,Frosinone,38,15,13,10,58,45,+13,58
10,Ternana,38,15,9,14,58,61,-3,54
11,Cittadella,38,13,13,12,38,36,+2,52
12,Parma,38,11,16,11,48,43,+5,49
13,Como,38,11,14,13,49,54,-5,47
14,Reggina,38,13,9,16,31,49,-18,46
15,SPAL,38,9,15,14,46,54,-8,42
16,Cosenza,38,8,11,19,36,59,-23,35
17,Vicenza,38,9,7,22,38,59,-21,34
18,Alessandria,38,8,10,20,37,59,-22,34
19,Crotone,38,4,14,20,41,61,-20,26
20,Pordenone,38,3,9,26,29,71,-42,18
