Position,Team,Played,Wins,Draws,Losses,Goals For,Goals Against,Goal Difference,Points
1,Dundee Utd,28,18,5,5,52,22,+30,59
2,Inverness CT,27,14,3,10,39,32,+7,45
3,Ayr,28,12,5,11,39,36,+3,41
4,Dundee,27,11,8,8,32,31,+1,41
5,Dunfermline,28,10,7,11,41,36,+5,37
6,Arbroath,27,10,7,10,25,27,-2,37
7,Morton,28,10,6,12,45,52,-7,36
8,Alloa,28,7,10,11,33,43,-10,31
9,Queen of Sth,28,7,7,14,28,40,-12,28
10,Partick Thistle,27,6,8,13,32,47,-15,26
