Position,Team,Played,Wins,Draws,Losses,Goals For,Goals Against,Goal Difference,Points
1,Frosinone,38,24,8,6,63,26,+37,80
2,Genoa,38,21,11,6,53,28,+25,73
3,Bari,38,17,14,7,58,37,+21,65
4,Parma,38,17,10,11,48,39,+9,60
5,Cagliari,38,15,15,8,50,34,+16,60
6,Sudtirol,38,14,16,8,38,34,+4,58
7,Reggina,38,17,4,17,49,45,+4,50
8,Venezia,38,13,10,15,51,50,+1,49
9,Palermo,38,11,16,11,48,49,-1,49
10,Modena,38,13,9,16,47,53,-6,48
11,Pisa,38,11,14,13,48,42,+6,47
12,Ascoli,38,12,11,15,40,47,-7,47
13,Como,38,10,17,11,47,48,-1,47
14,Ternana,38,11,10,17,37,52,-15,43
15,Cittadella,38,9,16,13,34,45,-11,43
16,Brescia,38,9,13,16,36,57,-21,40
17,Cosenza,38,9,13,16,30,53,-23,40
18,Perugia,38,10,9,19,40,52,-12,39
19,SPAL,38,8,14,16,41,51,-10,38
20,Benevento,38,7,14,17,33,49,-16,35
