Position,Team,Played,Wins,Draws,Losses,Goals For,Goals Against,Goal Difference,Points
1,Dunfermline,0,0,0,0,0,0,0,0
2,Airdrieonians,0,0,0,0,0,0,0,0
3,Ross County,0,0,0,0,0,0,0,0
4,St Johnstone,0,0,0,0,0,0,0,0
5,Ayr,0,0,0,0,0,0,0,0
6,Morton,0,0,0,0,0,0,0,0
7,Partick Thistle,0,0,0,0,0,0,0,0
8,Raith Rovers,0,0,0,0,0,0,0,0
9,Arbroath,0,0,0,0,0,0,0,0
10,Queen's Park,0,0,0,0,0,0,0,0
